Biomarkers,F1 LFC,F2 p-values,F4 CGC-Gene,F5 (GC),ProtoOncogene,TumorSuppressor,F3 BioConn,F6 Disease Dbs,LFC_Based,PPI_Based,CGC_Based,ZScore_Based,Relevance_Based,Biomarker (YES),Pi-Value,Pi-value scaled,F3 BioConn Scaled,F5 GC Scaled,F6 Disease Scaled,Composite Score,Cateogorization,Additional Checks for non-CGC Genes,Categorization of non-CGC Genes,Regulation
EZH2,1.487952209,1.79499e-19,1,43.57718277,Yes,Yes,34.0,3.196,,YES,YES,YES,YES,YES,27.893059807120313,0.3338391413411889,0.8292682926829268,0.2652463950757542,0.799,0.5795290823794031,Medium,0.5795290823794031,Medium,Upregulated
ERBB2,-1.699821525,3.41452e-05,1,112.6754608,Yes,,35.0,4.0,,YES,YES,YES,YES,YES,7.592542387529279,0.0706064050271234,0.8536585365853658,0.6858350607115086,1.0,0.535722241991893,Medium,0.535722241991893,Medium,Downregulated
ARID4A,1.383126925,4.8945e-58,0,5.653213978,,Yes,3.0,1.544,,,,YES,YES,YES,79.26740748444722,1.0,0.07317073170731707,0.03441008649344507,0.386,0.5186580818200762,Medium,0.5186580818200762,Medium,Upregulated
CHEK2,1.089132436,0.010674874,1,164.289444,,Yes,18.0,3.338,,YES,YES,YES,YES,YES,2.1473740727582804,0.0,0.43902439024390244,1.0,0.8345,0.46907743902439025,Medium,0.46907743902439025,Medium,Upregulated
MDM2,1.340108571,7.51278e-08,1,58.549263,Yes,,27.0,3.23,,YES,YES,YES,YES,YES,9.547200581780016,0.0959520656522454,0.6585365853658537,0.3563787275340709,0.8075,0.46579496083350286,Medium,0.46579496083350286,Medium,Upregulated
GATA3,-1.473079682,2.98427e-08,1,34.0852623,Yes,Yes,29.0,3.198,,YES,YES,YES,YES,YES,11.0851630793452,0.11589451678365373,0.7073170731707317,0.20747079952379652,0.7995,0.46355631982209705,Medium,0.46355631982209705,Medium,Downregulated
STK11,1.221658208,1.08136e-09,1,125.5768738,,Yes,9.0,2.992,,,YES,YES,YES,YES,10.953423775217049,0.114186279659003,0.21951219512195122,0.7643636179084031,0.748,0.46197140714958673,Medium,0.46197140714958673,Medium,Upregulated
TRAPPC10,-7.188196757,5.27966e-11,0,1.4197824,,,0.0,1.083,YES,,,YES,YES,YES,73.87593053964257,0.9300898001946732,0.0,0.008641957544149946,0.27075,0.46001710584201794,Medium,0.5520205270104215,Medium,Downregulated
BARD1,1.267606859,7.64277e-05,1,139.5420532,,Yes,16.0,2.982,,YES,YES,YES,YES,YES,5.2184195351127824,0.03982163034033424,0.3902439024390244,0.8493671279330642,0.7455,0.4537058366903593,Medium,0.4537058366903593,Medium,Upregulated
FOXO3,1.512431285,1.03328e-10,1,22.49775314,,Yes,20.0,2.957,,YES,YES,YES,YES,YES,15.102809066694158,0.16799052620706265,0.4878048780487805,0.13693973631075165,0.73925,0.4489576982291314,Medium,0.4489576982291314,Medium,Upregulated
CDK2,-7.252065787,1.53189e-06,0,33.45591736,,,26.0,3.205,YES,YES,,YES,YES,YES,42.16911211791244,0.5189538473292225,0.6341463414634146,0.20364009120391205,0.80125,0.4374953745648828,Medium,0.5249944494778593,Medium,Downregulated
XIST,-12.33011846,3.59734e-05,0,57.2949295,,,0.0,2.523,YES,,,YES,YES,YES,54.795274706328875,0.6826747643186427,0.0,0.3487438273879605,0.63075,0.4366905266821853,Medium,0.5240286320186223,Medium,Downregulated
PTCH1,-1.830958635,5.09428e-06,1,100.6214066,,Yes,10.0,2.49,,YES,YES,YES,YES,YES,9.691112430304463,0.0978181417178016,0.24390243902439024,0.6124642225948491,0.6225,0.42302982993493465,Medium,0.42302982993493465,Medium,Downregulated
NCOR1,-1.209296599,5.68473e-11,1,27.86626053,,Yes,17.0,2.579,,YES,YES,YES,YES,YES,12.389594543340811,0.13280881785808638,0.4146341463414634,0.16961686552423905,0.64475,0.41490156922270915,Medium,0.41490156922270915,Medium,Downregulated
ATF2,-8.040478132,1.2286e-07,0,8.478125572,,,10.0,1.877,YES,YES,,YES,YES,YES,55.56444366566587,0.6926484238894438,0.24390243902439024,0.05160481017879639,0.46925,0.4116300156705684,Medium,0.49395601880468204,Medium,Downregulated
MAP2K4,1.511153601,7.60382e-12,1,28.46710396,,Yes,4.0,2.49,,,YES,YES,YES,YES,16.802468793186218,0.19002967286327307,0.0975609756097561,0.17327409033047794,0.6225,0.4059718593824963,Medium,0.4059718593824963,Medium,Upregulated
TFRC,1.319476796,2.52026e-08,1,17.21832657,,,12.0,2.702,,YES,YES,YES,YES,YES,10.026116548258216,0.10216207290057747,0.2926829268292683,0.10480482586574459,0.6755,0.38704670807476116,Medium,0.38704670807476116,Medium,Upregulated
ASPM,1.64487873,5.66735e-11,1,3.487117529,,,9.0,2.03,,YES,YES,YES,YES,YES,16.85444723596276,0.19070366690187865,0.21951219512195122,0.021225450912110942,0.5075,0.3860154147092516,Medium,0.3860154147092516,Medium,Upregulated
TCEA1,1.144243884,2.9036200000000003e-19,1,1.883522987,,,6.0,1.318,,,YES,YES,YES,YES,21.210917785056655,0.24719314643617557,0.14634146341463414,0.011464662251824288,0.3295,0.37644252846292486,Medium,0.37644252846292486,Medium,Upregulated
BUB1B,1.365290154,5.75775e-05,1,46.8458252,Yes,,14.0,2.455,,YES,YES,YES,YES,YES,5.78848510214989,0.0472135561709927,0.34146341463414637,0.28514202774951264,0.61375,0.3759691445153126,Medium,0.3759691445153126,Medium,Upregulated
SUZ12,1.041525756,6.32824e-08,1,16.18136597,,Yes,15.0,2.52,,YES,YES,YES,YES,YES,7.497649226560367,0.0693759444480629,0.36585365853658536,0.09849303507290463,0.63,0.37215384436257726,Medium,0.37215384436257726,Medium,Upregulated
WRN,1.062573226,1.7684e-06,1,41.37881088,,Yes,15.0,2.302,,YES,YES,YES,YES,YES,6.1123669387963995,0.05141326696361561,0.36585365853658536,0.2518653047483684,0.5755,0.3712328664621224,Medium,0.3712328664621224,Medium,Upregulated
DGCR8,1.451928792,9.06521e-11,1,4.011286736,,,2.0,2.39,,,YES,YES,YES,YES,14.581172218897944,0.1612265658621343,0.04878048780487805,0.024415973651965125,0.5975,0.36949660078364477,Medium,0.36949660078364477,Medium,Upregulated
STIL,1.595856384,6.76563e-09,1,10.82637024,,,8.0,2.104,,,YES,YES,YES,YES,13.037654745200344,0.1412120844697591,0.1951219512195122,0.06589814887924265,0.526,0.36854744802126715,Medium,0.36854744802126715,Medium,Upregulated
DEK,1.15968657,5.08276e-12,1,14.97959423,Yes,,9.0,1.927,,,YES,YES,YES,YES,13.097384612763385,0.14198658967833683,0.21951219512195122,0.0911780688112865,0.48175,0.3672254917485754,Medium,0.3672254917485754,Medium,Upregulated
PRF1,-1.094825604,9.54738e-05,1,23.33670616,,,14.0,2.764,,YES,YES,YES,YES,YES,4.4013256996022685,0.029226538515767304,0.34146341463414637,0.14204629093516197,0.691,0.3651529128890262,Medium,0.3651529128890262,Medium,Downregulated
BIRC3,-1.067983118,3.90128e-09,1,22.9144249,Yes,Yes,8.0,2.442,,,YES,YES,YES,YES,8.980448837192139,0.08860310949240567,0.1951219512195122,0.1394759416192315,0.6105,0.3649061885554569,Medium,0.3649061885554569,Medium,Downregulated
EZR,-1.036458822,1.74418e-11,1,18.21939087,,,3.0,2.474,,,YES,YES,YES,YES,11.150647605459026,0.1167436414950533,0.07317073170731707,0.11089812240158291,0.6185,0.363716524083664,Medium,0.363716524083664,Medium,Downregulated
CD28,-1.052302523,0.001909019,1,18.10277176,Yes,,17.0,2.84,,YES,YES,YES,YES,YES,2.8614102335545764,0.009258763633887,0.4146341463414634,0.11018828306461369,0.71,0.36314868657585686,Medium,0.36314868657585686,Medium,Downregulated
JAZF1,1.547252174,5.15132e-13,1,10.75799561,,,2.0,1.409,,,YES,YES,YES,YES,19.012760770151658,0.21869008545887275,0.04878048780487805,0.06548196492770406,0.35225,0.3626742837297509,Medium,0.3626742837297509,Medium,Upregulated
CD79A,-1.453124176,3.71965e-07,1,14.77335358,Yes,,13.0,2.045,,YES,YES,YES,YES,YES,9.342858871569938,0.09330240769476963,0.3170731707317073,0.0899227194414268,0.51125,0.3593731724799598,Medium,0.3593731724799598,Medium,Downregulated
TBL1XR1,1.25615381,3.10313e-11,1,13.09714508,Yes,,8.0,1.771,,,YES,YES,YES,YES,13.199915503996369,0.14331608717330865,0.1951219512195122,0.07971994281020271,0.44275,0.3583889286309604,Medium,0.3583889286309604,Medium,Upregulated
JAK3,-1.044925911,7.60753e-07,1,24.56435013,Yes,,14.0,2.243,,YES,YES,YES,YES,YES,6.393647028490914,0.05506056945106347,0.34146341463414637,0.14951873676071362,0.56075,0.3579879713924646,Medium,0.3579879713924646,Medium,Downregulated
TOP1,1.044737796,6.27939e-07,1,25.84102058,Yes,,10.0,2.465,,YES,YES,YES,YES,YES,6.479550046549213,0.05617445665077102,0.24390243902439024,0.1572895978636339,0.61625,0.3578352091816494,Medium,0.3578352091816494,Medium,Upregulated
PBX1,1.235230111,1.75727e-08,1,13.68799973,,,11.0,2.059,,YES,YES,YES,YES,YES,9.579409006831382,0.09636970583763572,0.2682926829268293,0.0833163677271925,0.51475,0.3557397726923383,Medium,0.3557397726923383,Medium,Upregulated
GATA1,1.218067484,9.23225e-05,1,18.09731674,,,18.0,2.2,,YES,YES,YES,YES,YES,4.9145276737009205,0.03588112554581995,0.43902439024390244,0.11015507934885944,0.55,0.3535644534548952,Medium,0.3535644534548952,Medium,Upregulated
SRSF2,-1.688888733,1.57443e-06,1,13.15056038,,,5.0,2.167,,,YES,YES,YES,YES,9.800412982302722,0.09923542004566203,0.12195121951219512,0.08004507203761672,0.54175,0.34611806817552915,Medium,0.34611806817552915,Medium,Downregulated
ID3,-2.45996558,8.19117e-05,1,13.06519604,,Yes,6.0,2.048,,,YES,YES,YES,YES,10.05302832644789,0.10251103252882363,0.14634146341463414,0.07952547480774236,0.512,0.3455166584602083,Medium,0.3455166584602083,Medium,Downregulated
CDKN2C,1.040758598,3.98423e-09,1,18.33715057,,Yes,7.0,2.095,,,YES,YES,YES,YES,8.742013784638356,0.08551137000519685,0.17073170731707318,0.11161490430267691,0.52375,0.3452772776643136,Medium,0.3452772776643136,Medium,Upregulated
PML,-1.418921241,9.05326e-06,1,16.79055214,,Yes,12.0,1.983,,YES,YES,YES,YES,YES,7.15589651790156,0.06494450564364185,0.2926829268292683,0.10220104062194038,0.49575,0.3430759242847597,Medium,0.3430759242847597,Medium,Downregulated
CDC73,1.054887188,1.09102e-06,1,55.32717133,,Yes,9.0,1.676,,,YES,YES,YES,YES,6.289413884911017,0.05370899919144661,0.21951219512195122,0.33676644087979263,0.419,0.34264691323632535,Medium,0.34264691323632535,Medium,Upregulated
ARHGEF12,1.503930465,1.09524e-09,1,0.0,Yes,Yes,6.0,1.593,,,YES,YES,,YES,13.475954950225976,0.146895435288422,0.14634146341463414,0.0,0.39825,0.3404745922212533,Medium,0.3404745922212533,Medium,Upregulated
B4GALT3,-8.67296175,1.61081e-06,0,2.341327429,,,0.0,1.556,YES,,,YES,YES,YES,50.24208305750932,0.6236344417540335,0.0,0.014251234723272908,0.389,0.3404106222616424,Medium,0.4084927467139709,Medium,Downregulated
RBM15,1.666979464,9.52654e-06,1,9.86796093,Yes,Yes,4.0,2.308,,,YES,YES,YES,YES,8.370011916827055,0.08068769642319192,0.0975609756097561,0.060064485518619204,0.577,0.3386220095032739,Medium,0.3386220095032739,Medium,Upregulated
FEN1,-1.189030356,0.013346775,1,9.647533417,,,17.0,2.323,,YES,YES,YES,YES,YES,2.228984438777915,0.0010582252419935418,0.4146341463414634,0.05872278329093377,0.58075,0.33492439432213683,Medium,0.33492439432213683,Medium,Downregulated
FAT1,2.382510064,0.000279687,1,7.680253029,,Yes,2.0,2.335,YES,,YES,YES,YES,YES,8.465839052153658,0.08193026766035737,0.04878048780487805,0.046748304955003685,0.58375,0.333983999723149,Medium,0.333983999723149,Medium,Upregulated
HOOK3,1.032363171,1.19838e-17,1,0.0,,,0.0,1.139,,,YES,YES,,YES,17.469035785671675,0.1986729133158171,0.0,0.0,0.28475,0.3321153109921177,Medium,0.3321153109921177,Medium,Upregulated
TCF3,1.083700524,0.000569551,1,18.7313118,,Yes,11.0,2.017,,YES,YES,YES,YES,YES,3.5160310011973555,0.0177470997857689,0.2682926829268293,0.11401409210442029,0.50425,0.321854372406721,LOW,0.321854372406721,LOW,Upregulated
TNFRSF17,-1.815976767,0.002246732,1,8.820757866,Yes,,10.0,1.98,,YES,YES,YES,YES,YES,4.809521360514403,0.03451952975104166,0.24390243902439024,0.05369035070810757,0.495,0.31954306736121857,LOW,0.31954306736121857,LOW,Downregulated
SGK1,1.639244084,0.009312863,1,15.7942667,Yes,,6.0,2.353,,,YES,YES,YES,YES,3.329168326272994,0.015324088971875255,0.14634146341463414,0.09613683213877089,0.58825,0.31938116959268437,LOW,0.31938116959268437,LOW,Upregulated
EGR1,2.266722477,4.90185e-14,0,20.61309624,,Yes,18.0,2.65,YES,YES,,YES,YES,YES,30.169260109319403,0.3633541739663445,0.43902439024390244,0.1254681721364886,0.6625,0.31933363452289415,LOW,0.383200361427473,Medium,Upregulated
DDIT3,1.228091803,0.001539871,1,17.81702805,,,7.0,2.234,,,YES,YES,YES,YES,3.454027427732807,0.016943111888959316,0.17073170731707318,0.1084490130114507,0.5585,0.3193174723828841,LOW,0.3193174723828841,LOW,Upregulated
AFF1,1.049615744,2.15367e-06,1,0.0,,,11.0,1.826,,YES,YES,YES,,YES,5.947984373667394,0.04928175122306239,0.2682926829268293,0.0,0.4565,0.317481056343061,LOW,0.317481056343061,LOW,Upregulated
IL21R,-1.192629598,1.25238e-05,1,3.476853371,,,14.0,1.546,,YES,YES,YES,YES,YES,5.846584996327571,0.047966925841717904,0.34146341463414637,0.02116297484700234,0.3865,0.31582275557688794,LOW,0.31582275557688794,LOW,Downregulated
CD79B,-1.015124261,0.000165233,1,12.661623,Yes,,11.0,1.879,,YES,YES,YES,YES,YES,3.8391017031931263,0.021936292758120538,0.2682926829268293,0.07706899902832468,0.46975,0.31486999993666964,LOW,0.31486999993666964,LOW,Downregulated
POU2AF1,-1.269966939,2.83463e-08,1,0.0,,,7.0,1.427,,,YES,YES,,YES,9.585080070498726,0.09644324138237637,0.17073170731707318,0.0,0.35675,0.3139851293537767,LOW,0.3139851293537767,LOW,Downregulated
TCL1A,-1.728640184,0.000321218,1,11.03823757,Yes,,5.0,1.913,,,YES,YES,YES,YES,6.038486109037004,0.05045526906746588,0.12195121951219512,0.067187746828092,0.47825,0.31335626771438835,LOW,0.31335626771438835,LOW,Downregulated
OLIG2,1.993093145,0.000564381,1,5.301885605,,,6.0,1.826,,,YES,YES,YES,YES,6.474418812048784,0.056107920962527244,0.14634146341463414,0.032271614511033345,0.4565,0.311584872225704,LOW,0.311584872225704,LOW,Upregulated
KLF3,1.299977353,4.06153e-35,0,0.0,,Yes,1.0,1.615,,,,YES,,YES,44.70792457491523,0.5518741190756036,0.024390243902439025,0.0,0.40375,0.3113448779742655,LOW,0.37361385356911864,Medium,Upregulated
POLQ,1.320065495,0.001293769,1,0.0,,,10.0,1.848,,YES,YES,YES,,YES,3.8125382610884446,0.02159184993399884,0.24390243902439024,0.0,0.462,0.3034065763727385,LOW,0.3034065763727385,LOW,Upregulated
MYH11,1.37365325,0.003225882,1,16.39468002,,Yes,5.0,1.965,,,YES,YES,YES,YES,3.422253116154538,0.016531100765874752,0.12195121951219512,0.0997914389435757,0.49125,0.30330076119022076,LOW,0.30330076119022076,LOW,Upregulated
HIP1,-1.616022951,3.0696e-07,1,15.88494778,,,2.0,0.976,,,YES,YES,YES,YES,10.525025311502464,0.10863132273324974,0.04878048780487805,0.09668879139916012,0.244,0.3000310231503662,LOW,0.3000310231503662,LOW,Downregulated
PIM1,1.215984202,8.00629e-07,1,0.0,,,2.0,1.683,,,YES,YES,,YES,7.413331205105439,0.06828260958129989,0.04878048780487805,0.0,0.42075,0.2987177230920728,LOW,0.2987177230920728,LOW,Upregulated
EBF1,-1.189537938,0.004096054,1,0.0,,,10.0,1.809,,YES,YES,YES,,YES,2.8401816134522853,0.008983496376299511,0.24390243902439024,0.0,0.45225,0.2962703172717738,LOW,0.2962703172717738,LOW,Downregulated
SPECC1,1.309433965,1.471e-09,1,4.484175682,,,0.0,0.952,,,YES,YES,YES,YES,11.565427958366142,0.12212201511028371,0.0,0.0272943627589366,0.238,0.29338434307552136,LOW,0.29338434307552136,LOW,Upregulated
FIP1L1,1.044166551,5.10419e-09,1,5.955803394,,,2.0,1.115,,,YES,YES,YES,YES,8.658305440124991,0.0844259406970104,0.04878048780487805,0.03625189329875631,0.27875,0.2883074114240181,LOW,0.2883074114240181,LOW,Upregulated
CAMTA1,-2.728999126,0.001796543,1,0.0,,,1.0,1.432,,,YES,YES,,YES,7.492637345109793,0.0693109563868698,0.024390243902439025,0.0,0.358,0.2873289547643353,LOW,0.2873289547643353,LOW,Downregulated
PATZ1,-1.235135389,5.79347e-06,1,4.500115395,,,2.0,1.387,,,YES,YES,YES,YES,6.468479668890374,0.05603090928481304,0.04878048780487805,0.02739138489628098,0.34675,0.2848435964482818,LOW,0.2848435964482818,LOW,Downregulated
RMI2,1.49254664,0.004893532,1,4.044668674,,,8.0,1.459,,,YES,YES,YES,YES,3.4483462753217595,0.016869445525503277,0.1951219512195122,0.024619163444244176,0.36475,0.28427786195285215,LOW,0.28427786195285215,LOW,Upregulated
NFKBIE,-1.019303362,0.00063144,1,4.305392265,,,5.0,1.561,,,YES,YES,YES,YES,3.261432258153117,0.014445768967029274,0.12195121951219512,0.026206140578331982,0.39025,0.2798538320442159,LOW,0.2798538320442159,LOW,Downregulated
FAM131B,-4.643993134,0.00287023,1,1.89917028,,,0.0,0.595,,,YES,YES,YES,YES,11.805417393917637,0.12523390996995476,0.0,0.011559904481751123,0.14875,0.27982374993465475,LOW,0.27982374993465475,LOW,Downregulated
JUND,1.576239684,2.97138e-20,0,10.09134769,Yes,,9.0,2.194,,YES,,YES,YES,YES,30.779298202834383,0.371264415527813,0.21951219512195122,0.061424200145202265,0.5485,0.2774376265142312,LOW,0.33292515181707744,Medium,Upregulated
SBDS,1.142994125,0.000188493,1,15.85983086,,,4.0,1.178,,,YES,YES,YES,YES,4.257315673360447,0.02735918939944814,0.0975609756097561,0.09653590926998329,0.2945,0.2758963237177256,LOW,0.2758963237177256,LOW,Upregulated
NCKIPSD,-1.687935798,6.65237e-05,1,0.0,,,1.0,1.162,,,YES,YES,,YES,7.050547669668665,0.0635784682656429,0.024390243902439025,0.0,0.2905,0.2746243351097832,LOW,0.2746243351097832,LOW,Downregulated
ARHGEF10,-2.834439128,0.009728982,1,4.303412914,,,1.0,1.261,,,YES,YES,YES,YES,5.702700484659525,0.04610120424769384,0.024390243902439025,0.026194092628373616,0.31525,0.2730914755645435,LOW,0.2730914755645435,LOW,Downregulated
FGFR1OP,1.0879514,3.39338e-08,1,0.0,,,2.0,0.841,,,YES,YES,,YES,8.126308833248325,0.07752764743465256,0.04878048780487805,0.0,0.21025,0.27130299012608144,LOW,0.27130299012608144,LOW,Upregulated
TNF,-1.028634543,5.84977e-05,0,50.24751282,,,41.0,3.399,,YES,,YES,YES,YES,4.354067255383684,0.028613747751449224,1.0,0.30584748232515774,0.84975,0.27092343472066793,LOW,0.3251081216648015,LOW,Downregulated
RAD51C,1.220750943,1.13044e-11,0,93.8824234,,Yes,11.0,2.948,,YES,,YES,YES,YES,13.363258417161008,0.14543412195543418,0.2682926829268293,0.5714452560932642,0.737,0.2599691487819547,LOW,0.31196297853834565,LOW,Upregulated
HSPA4,1.359486383,3.68848e-12,0,17.73935509,,,23.0,2.893,,YES,,YES,YES,YES,15.54321522969163,0.17370118456021008,0.5609756097560976,0.10797623181438243,0.72325,0.25354821720914256,LOW,0.30425786065097105,LOW,Upregulated
NBEA,-1.469866648,0.003027064,1,0.0,,,0.0,1.073,,,YES,YES,,YES,3.7025623325363406,0.020165814133871255,0.0,0.0,0.26825,0.2493121163602421,LOW,0.2493121163602421,LOW,Downregulated
ZNF429,1.150902558,4.41335e-05,1,0.910681725,,,0.0,0.658,,,YES,YES,YES,YES,5.0124472231133925,0.037150828696617996,0.0,0.005543154221156169,0.1645,0.24194718833559373,LOW,0.24194718833559373,LOW,Upregulated
CEP89,1.036919929,4.50453e-05,1,1.134557486,,,0.0,0.567,,,YES,YES,YES,YES,4.506817468823613,0.03059442912154802,0.0,0.006905845307991912,0.14175,0.2357205776354958,LOW,0.2357205776354958,LOW,Upregulated
CTLA4,-1.763895282,1.85681e-05,0,31.76713562,Yes,,18.0,3.348,,YES,,YES,YES,YES,8.345398744093492,0.08036854235070635,0.43902439024390244,0.19336078354492453,0.837,0.22495436143670056,LOW,0.26994523372404067,LOW,Downregulated
MDS2,-2.888709058,0.008172449,1,2.628021717,,,0.0,0.0,,,YES,,YES,YES,6.030607054729202,0.050353102951098405,0.0,0.015996290772035238,0.0,0.2242585254051978,LOW,0.2242585254051978,LOW,Downregulated
REXO1L2P,-7.166371475,2.23771e-06,0,0.0,,,0.0,0.0,YES,,,,,YES,40.4914048566655,0.49719935388533537,0.0,0.0,0.0,0.22373970924840092,LOW,0.22373970924840092,LOW,Downregulated
IFNG,-1.508960791,0.013316129,0,39.47425079,,,27.0,3.393,,YES,,YES,YES,YES,2.8302400661939426,0.008854586327657912,0.6585365853658537,0.24027259347228663,0.84825,0.22110298173126006,LOW,0.26532357807751206,LOW,Downregulated
SFRP2,2.728800465,1.96734e-09,0,9.010613441,Yes,Yes,1.0,2.308,YES,,,YES,YES,YES,23.757265881244294,0.28021113130392705,0.024390243902439025,0.05484596710303554,0.577,0.22056863018731462,LOW,0.26468235622477754,LOW,Upregulated
HLA-B,-5.792849531,0.000329449,0,25.12493896,,Yes,6.0,2.086,YES,,,YES,YES,YES,20.171929029311702,0.23372078770159707,0.14634146341463414,0.15293093912960104,0.5215,0.2133265947201422,LOW,0.2133265947201422,LOW,Downregulated
CDK1,1.252927879,0.001030244,0,27.98592186,,,27.0,3.141,,YES,,YES,YES,YES,3.74257063255523,0.02068459373301009,0.6585365853658537,0.1703452223016836,0.78525,0.20998374794660826,LOW,0.2519804975359299,LOW,Upregulated
CARS,-1.429039877,0.002732261,1,0.0,,,0.0,0.0,,,YES,,,YES,3.663312024164206,0.01965686326033357,0.0,0.0,0.0,0.20884558846715012,LOW,0.20884558846715012,LOW,Downregulated
TOP2A,1.209284075,2.68892e-05,0,24.99110031,Yes,,23.0,2.93,,YES,,YES,YES,YES,5.526938684042435,0.04382213624367958,0.5609756097560976,0.15211628758083812,0.7325,0.20090415104334938,LOW,0.24108498125201924,LOW,Upregulated
RPAIN,-7.225250836,1.35333e-05,0,1.88596642,,,0.0,0.0,YES,,,,YES,YES,35.176829420499395,0.42828632051311977,0.0,0.011479534984609236,0.0,0.1938767977293648,LOW,0.1938767977293648,LOW,Downregulated
GNA12,1.995832575,2.49447e-11,0,10.43458366,Yes,,1.0,1.928,,,,YES,YES,YES,21.16185613179157,0.24655697382194472,0.024390243902439025,0.0635134151406587,0.482,0.1920410041241849,LOW,0.1920410041241849,LOW,Upregulated
DSP,-7.123446991,0.001866003,0,17.64849091,,,1.0,1.942,YES,,,YES,YES,YES,19.440511296666564,0.22423664071295896,0.024390243902439025,0.10742315805755602,0.4855,0.18691282851683105,LOW,0.18691282851683105,LOW,Downregulated
UBA52,1.404071462,1.33236e-08,0,0.0,,,32.0,1.475,,YES,,YES,,YES,11.057594083741424,0.11553703514906205,0.7804878048780488,0.0,0.36875,0.1853529463048828,LOW,0.22242353556585936,LOW,Upregulated
YAP1,2.052393915,0.000811676,0,32.42881393,Yes,,13.0,2.83,,YES,,YES,YES,YES,6.343164130379363,0.05440596784006495,0.3170731707317073,0.19738829921416007,0.7075,0.18205383252261598,LOW,0.21846459902713916,LOW,Upregulated
FGF8,4.099209152,0.007435063,0,13.26803303,Yes,,12.0,2.76,YES,YES,,YES,YES,YES,8.726049433207898,0.08530436346326194,0.2926829268292683,0.08076010671750766,0.69,0.17923126691314545,LOW,0.21507752029577454,LOW,Upregulated
FGF9,-4.238987209,0.009313232,0,15.7125349,Yes,,11.0,2.773,,YES,,YES,YES,YES,8.608957335135356,0.08378605372074055,0.2682926829268293,0.09563934551997144,0.69325,0.17808442701901334,LOW,0.213701312422816,LOW,Downregulated
CD58,1.078763067,6.89408e-17,0,9.948460579,,Yes,7.0,1.749,,,,YES,YES,YES,17.434454853807118,0.19822450931059638,0.17073170731707318,0.06055447225812025,0.43725,0.17791714714728774,LOW,0.17791714714728774,LOW,Upregulated
ESCO2,1.444944653,3.38201e-10,0,6.500387669,,Yes,8.0,1.817,,,,YES,YES,YES,13.684818105956865,0.14960372192278998,0.1951219512195122,0.039566678848824886,0.45425,0.1589280378720892,LOW,0.1589280378720892,LOW,Upregulated
STAT4,-1.10949301,2.0486e-09,0,11.12077332,Yes,,11.0,1.999,,YES,,YES,YES,YES,9.639877538766854,0.09715378915892622,0.2682926829268293,0.06769012694449193,0.49975,0.15227998610864893,LOW,0.18273598333037872,LOW,Downregulated
CORIN,4.028834004,6.86232e-06,0,0.0,,,0.0,1.154,YES,,,YES,,YES,20.80300135290879,0.24190377590426346,0.0,0.0,0.2885,0.15213169915691854,LOW,0.15213169915691854,LOW,Upregulated
PHLPP2,1.624294439,1.96436e-09,0,5.291498661,,Yes,1.0,1.977,,,,YES,YES,YES,14.142372577997525,0.1555367389586891,0.024390243902439025,0.03220839106984865,0.49425,0.14978889602863887,LOW,0.14978889602863887,LOW,Upregulated
EGR2,2.051854216,9.67966e-05,0,6.748496056,,Yes,14.0,1.914,,YES,,YES,YES,YES,8.23642987148774,0.0789555648429809,0.34146341463414637,0.04107686952790466,0.4785,0.1455590325955465,LOW,0.1746708391146558,LOW,Upregulated
CYP11A1,4.45801658,0.000794597,0,8.300457001,,,1.0,1.823,YES,,,YES,YES,YES,13.819196421549206,0.1513461785796095,0.024390243902439025,0.05052337386326537,0.45575,0.1439596421373947,LOW,0.1439596421373947,LOW,Upregulated
PIK3R3,1.756029386,1.52889e-05,0,8.60948658,,Yes,8.0,2.088,,,,YES,YES,YES,8.4563768343375,0.08180757298042061,0.1951219512195122,0.05240438077080595,0.522,0.1398660410402211,LOW,0.1398660410402211,LOW,Upregulated
