Biomarkers,F1 LFC,F2 p-values,F4 CGC-Gene,F5 (GC),ProtoOncogene,TumorSuppressor,F3 BioConn,F6 Disease Dbs,LFC_Based,PPI_Based,CGC_Based,ZScore_Based,Relevance_Based,Biomarker (YES),Pi-Value,Pi-value scaled,F3 BioConn Scaled,F5 GC Scaled,F6 Disease Scaled,Composite Score,Cateogorization,Additional Checks for non-CGC Genes,Categorization of non-CGC Genes,Regulation
LTB,-1.004658646,2.22705e-13,0,3.16437602,Yes,Yes,6.0,1.632,,,,YES,YES,YES,12.711212479590923,0.1369791731084948,0.14634146341463414,0.01926098197763698,0.408,0.13940087243804977,LOW,0.13940087243804977,LOW,Downregulated
AIP,-1.009857655,7.28843e-14,0,45.05823517,,,1.0,1.13,,,,YES,YES,YES,13.266869634704078,0.14418426795261782,0.024390243902439025,0.2742612919792948,0.2825,0.1371230741668514,LOW,0.16454768900022168,LOW,Downregulated
CD79B,-1.015124261,0.000165233,1,12.661623,Yes,,11.0,1.879,,YES,YES,YES,YES,YES,3.8391017031931263,0.021936292758120538,0.2682926829268293,0.07706899902832468,0.46975,0.31486999993666964,LOW,0.31486999993666964,LOW,Downregulated
NFKBIE,-1.019303362,0.00063144,1,4.305392265,,,5.0,1.561,,,YES,YES,YES,YES,3.261432258153117,0.014445768967029274,0.12195121951219512,0.026206140578331982,0.39025,0.2798538320442159,LOW,0.2798538320442159,LOW,Downregulated
TNF,-1.028634543,5.84977e-05,0,50.24751282,,,41.0,3.399,,YES,,YES,YES,YES,4.354067255383684,0.028613747751449224,1.0,0.30584748232515774,0.84975,0.27092343472066793,LOW,0.3251081216648015,LOW,Downregulated
DDX41,-1.034083688,5.2628e-06,0,15.7039938,,Yes,3.0,1.564,,,,YES,YES,YES,5.458703531340029,0.04293734470918754,0.07317073170731707,0.09558735739588965,0.391,0.09484761402945507,LOW,0.09484761402945507,LOW,Downregulated
EZR,-1.036458822,1.74418e-11,1,18.21939087,,,3.0,2.474,,,YES,YES,YES,YES,11.150647605459026,0.1167436414950533,0.07317073170731707,0.11089812240158291,0.6185,0.363716524083664,Medium,0.363716524083664,Medium,Downregulated
JAK3,-1.044925911,7.60753e-07,1,24.56435013,Yes,,14.0,2.243,,YES,YES,YES,YES,YES,6.393647028490914,0.05506056945106347,0.34146341463414637,0.14951873676071362,0.56075,0.3579879713924646,Medium,0.3579879713924646,Medium,Downregulated
CD28,-1.052302523,0.001909019,1,18.10277176,Yes,,17.0,2.84,,YES,YES,YES,YES,YES,2.8614102335545764,0.009258763633887,0.4146341463414634,0.11018828306461369,0.71,0.36314868657585686,Medium,0.36314868657585686,Medium,Downregulated
RPL3,-1.065555906,2.82998e-09,0,7.880483627,,,8.0,1.49,,,,YES,YES,YES,9.108602719812342,0.0902648551757365,0.1951219512195122,0.04796707223015497,0.3725,0.12080308717404814,LOW,0.12080308717404814,LOW,Downregulated
