ID	Gene.Symbol
BRCA2	315.7012634
BRCA1	312.066925
TP53	217.0281067
ATM	215.7221527
MSH6	195.664917
MSH2	189.9951935
MLH1	189.3862762
CDH1	179.9846191
PALB2	176.1827698
BRIP1	174.681427
APC	173.6756287
CHEK2	164.289444
PMS2	159.078598
PTEN	155.7794495
EGFR	153.1160889
BARD1	139.5420532
CDKN2A	137.6745605
NF1	132.9944611
RAD50	129.5715027
MET	126.0289536
POLD1	125.8234558
STK11	125.5768738
PIK3CA	123.7791748
C11orf65	122.7347794
DICER1	121.3194962
POLE	119.3344727
AXIN2	117.9300613
SMAD4	117.8506927
TERT	115.3706818
BRAF	112.7076263
ERBB2	112.6754608
KRAS	111.5604248
LOC126862571	110.3139191
TSC2	109.9430618
RB1	109.3146591
NBN	106.0039215
CTNNB1	103.601181
RET	102.4889297
ALK	102.4503174
MUTYH	100.9479141
PTCH1	100.6214066
RAD51D	100.3976135
SMARCA4	99.45576477
PDGFRA	98.84521484
AKT1	97.74172974
BAP1	96.26087189
BLM	95.36771393
FGFR3	94.18386078
RAD51C	93.8824234
MSH3	91.99362183
HRAS	91.70883179
KIT	88.95669556
FGFR2	87.7851181
RAD51L3-RFFL	86.68359375
CCND1	85.73375702
MRE11	85.59335327
H19	83.80221558
TSC1	83.24910736
BMPR1A	82.08428192
CDK4	81.57376862
EPCAM	81.43759155
MIR21	81.01847839
CDKN1B	78.84194183
SDHA	77.91746521
ESR1	77.47541046
ATR	77.44304657
MEN1	77.16247559
FH	76.032341
MEG3	75.97065735
NRAS	75.5929718
SDHB	74.57697296
MTOR	74.50805664
FLCN	74.25462341
GAS5	74.11625671
CTNNA1	73.95702362
PVT1	73.25378418
FANCC	71.21324158
UCA1	71.17538452
MYC	70.72872162
STAT3	70.24520874
CCAT1	69.97767639
VHL	69.45059967
MALAT1	69.2150116
HOTAIR	68.6980896
FBXW7	68.35583496
EP300	68.24350739
FGFR1	66.84970856
NOTCH1	66.77204132
HOXB13	66.54121399
AR	66.25957489
ERBB3	66.12756348
SRC	65.38989258
SDHD	64.64208221
MIR143	63.21725845
TUG1	62.79486847
CDKN2B-AS1	62.74401093
ARID1A	62.47945023
CCAT2	61.99585342
PCAT1	61.81738281
MAPK1	61.12215424
ERBB4	60.74127197
NF2	60.57815552
NFE2L2	60.57443619
NTHL1	60.5396347
RUNX1	60.17359161
MLH3	59.12894821
TGFBR2	59.1266861
MDM2	58.549263
LZTR1	58.39024353
GNAS	58.33265686
HULC	58.13531494
SDHC	57.92953491
POT1	57.37800217
XIST	57.2949295
MIR214	56.90687561
MIRLET7C	56.71218872
NEAT1	55.89426041
XRCC2	55.68914413
AOPEP	55.34926224
CDC73	55.32717133
LRRC56	55.06266403
CREBBP	54.67383575
SUFU	54.64400864
BCAR4	54.28318024
MIR125A	53.98241043
LOC126806658	53.57618713
BCL2	53.06425476
SMARCB1	53.06050873
ERCC2	53.00527954
CASP8	52.66730881
RECQL4	52.57909012
HIF1A	52.05600739
TGFB1	51.97634888
SMO	51.90828323
MIR221	51.70413208
MIR34A	51.63828278
IL1B	51.53578186
RAD51	50.9658432
MIR155	50.94198608
TMEM127	50.85511017
MIR145	50.84217072
SPRY4-IT1	50.82176208
PRKAR1A	50.75246429
GDF6	50.47964096
MIRLET7B	50.42079163
TNF	50.24751282
IL6	50.13274384
CDKN1A	50.11555481
CASC2	49.94985962
MUC16	49.88098907
IDH1	49.4765358
GREM1	49.11365128
MIR17	48.67989731
MAP2K1	48.65818787
VEGFA	48.43970108
SNHG16	48.0585022
PPARG	47.87783813
FANCM	47.69868851
BAX	47.43281937
CHEK1	47.40894699
HOXA11-AS	47.27584076
SDHAF2	47.23659897
MIR205	47.21411514
CCEPR	47.1490593
MIR23B	46.96237946
BUB1B	46.8458252
BCYRN1	46.70980835
MIR146A	46.69750977
MIR31	46.49002838
FANCD2	46.48643112
MIR141	46.21373749
MIR20A	46.02978134
WT1	45.87464142
JUN	45.48038483
MIR126	45.39009094
FAS	45.35911179
PMS1	45.27202225
MIR210	45.25910568
CCNE1	45.15463638
AIP	45.05823517
PIK3R1	45.00118256
MIR29A	44.31031036
AURKA	44.26646423
MIR30A	44.24629211
PHOX2B	44.16575241
CRNDE	44.10481262
MIR200B	44.0850029
MIR182	43.71468353
