Biomarkers,F1 LFC,F2 p-values,F4 CGC-Gene,F5 (GC),ProtoOncogene,TumorSuppressor,F3 BioConn,F6 Disease Dbs,LFC_Based,PPI_Based,CGC_Based,ZScore_Based,Relevance_Based,Biomarker (YES),Pi-Value,Pi-value scaled,F3 BioConn Scaled,F5 GC Scaled,F6 Disease Scaled,Composite Score,Cateogorization,Additional Checks for non-CGC Genes,Categorization of non-CGC Genes,Regulation
BCORP1,4.514248538,0.000404154,0,0.0,,,0.0,0.0,YES,,,,,YES,15.318890779128356,0.1707924144178819,0.0,0.0,0.0,0.07685658648804686,LOW,0.07685658648804686,LOW,Upregulated
CYP11A1,4.45801658,0.000794597,0,8.300457001,,,1.0,1.823,YES,,,YES,YES,YES,13.819196421549206,0.1513461785796095,0.024390243902439025,0.05052337386326537,0.45575,0.1439596421373947,LOW,0.1439596421373947,LOW,Upregulated
LOC642929,4.194982341,0.000292517,0,0.0,,,0.0,0.0,YES,,,,,YES,14.82443368624366,0.1643808885015854,0.0,0.0,0.0,0.07397139982571342,LOW,0.07397139982571342,LOW,Upregulated
LINGO2,4.19364919,0.008075149,0,0.0,,,0.0,1.034,YES,,,YES,,YES,8.776676423697008,0.08596083349120978,0.0,0.0,0.2585,0.0774573750710444,LOW,0.0774573750710444,LOW,Upregulated
RARRES1,4.099209153,0.007433429,0,6.800346851,,,0.0,1.73,YES,,,YES,YES,YES,8.726440726026933,0.08530943727873795,0.0,0.04139247589759936,0.4325,0.10740349436519202,LOW,0.10740349436519202,LOW,Upregulated
FGF8,4.099209152,0.007435063,0,13.26803303,Yes,,12.0,2.76,YES,YES,,YES,YES,YES,8.726049433207898,0.08530436346326194,0.2926829268292683,0.08076010671750766,0.69,0.17923126691314545,LOW,0.21507752029577454,LOW,Upregulated
CORIN,4.028834004,6.86232e-06,0,0.0,,,0.0,1.154,YES,,,YES,,YES,20.80300135290879,0.24190377590426346,0.0,0.0,0.2885,0.15213169915691854,LOW,0.15213169915691854,LOW,Upregulated
SFRP2,2.728800465,1.96734e-09,0,9.010613441,Yes,Yes,1.0,2.308,YES,,,YES,YES,YES,23.757265881244294,0.28021113130392705,0.024390243902439025,0.05484596710303554,0.577,0.22056863018731462,LOW,0.26468235622477754,LOW,Upregulated
FAT1,2.382510064,0.000279687,1,7.680253029,,Yes,2.0,2.335,YES,,YES,YES,YES,YES,8.465839052153658,0.08193026766035737,0.04878048780487805,0.046748304955003685,0.58375,0.333983999723149,Medium,0.333983999723149,Medium,Upregulated
EGR1,2.266722477,4.90185e-14,0,20.61309624,,Yes,18.0,2.65,YES,YES,,YES,YES,YES,30.169260109319403,0.3633541739663445,0.43902439024390244,0.1254681721364886,0.6625,0.31933363452289415,LOW,0.383200361427473,Medium,Upregulated
YAP1,2.052393915,0.000811676,0,32.42881393,Yes,,13.0,2.83,,YES,,YES,YES,YES,6.343164130379363,0.05440596784006495,0.3170731707317073,0.19738829921416007,0.7075,0.18205383252261598,LOW,0.21846459902713916,LOW,Upregulated
EGR2,2.051854216,9.67966e-05,0,6.748496056,,Yes,14.0,1.914,,YES,,YES,YES,YES,8.23642987148774,0.0789555648429809,0.34146341463414637,0.04107686952790466,0.4785,0.1455590325955465,LOW,0.1746708391146558,LOW,Upregulated
GNA12,1.995832575,2.49447e-11,0,10.43458366,Yes,,1.0,1.928,,,,YES,YES,YES,21.16185613179157,0.24655697382194472,0.024390243902439025,0.0635134151406587,0.482,0.1920410041241849,LOW,0.1920410041241849,LOW,Upregulated
OLIG2,1.993093145,0.000564381,1,5.301885605,,,6.0,1.826,,,YES,YES,YES,YES,6.474418812048784,0.056107920962527244,0.14634146341463414,0.032271614511033345,0.4565,0.311584872225704,LOW,0.311584872225704,LOW,Upregulated
AHSP,1.957550981,5.43153e-07,0,1.457414389,,,2.0,0.829,,,,YES,YES,YES,12.264209227452666,0.131182971624089,0.04878048780487805,0.008871016624780835,0.20725,0.09588498767380596,LOW,0.09588498767380596,LOW,Upregulated
PIK3R3,1.756029386,1.52889e-05,0,8.60948658,,Yes,8.0,2.088,,,,YES,YES,YES,8.4563768343375,0.08180757298042061,0.1951219512195122,0.05240438077080595,0.522,0.1398660410402211,LOW,0.1398660410402211,LOW,Upregulated
RBM15,1.666979464,9.52654e-06,1,9.86796093,Yes,Yes,4.0,2.308,,,YES,YES,YES,YES,8.370011916827055,0.08068769642319192,0.0975609756097561,0.060064485518619204,0.577,0.3386220095032739,Medium,0.3386220095032739,Medium,Upregulated
ASPM,1.64487873,5.66735e-11,1,3.487117529,,,9.0,2.03,,YES,YES,YES,YES,YES,16.85444723596276,0.19070366690187865,0.21951219512195122,0.021225450912110942,0.5075,0.3860154147092516,Medium,0.3860154147092516,Medium,Upregulated
SGK1,1.639244084,0.009312863,1,15.7942667,Yes,,6.0,2.353,,,YES,YES,YES,YES,3.329168326272994,0.015324088971875255,0.14634146341463414,0.09613683213877089,0.58825,0.31938116959268437,LOW,0.31938116959268437,LOW,Upregulated
PHLPP2,1.624294439,1.96436e-09,0,5.291498661,,Yes,1.0,1.977,,,,YES,YES,YES,14.142372577997525,0.1555367389586891,0.024390243902439025,0.03220839106984865,0.49425,0.14978889602863887,LOW,0.14978889602863887,LOW,Upregulated
STIL,1.595856384,6.76563e-09,1,10.82637024,,,8.0,2.104,,,YES,YES,YES,YES,13.037654745200344,0.1412120844697591,0.1951219512195122,0.06589814887924265,0.526,0.36854744802126715,Medium,0.36854744802126715,Medium,Upregulated
JUND,1.576239684,2.97138e-20,0,10.09134769,Yes,,9.0,2.194,,YES,,YES,YES,YES,30.779298202834383,0.371264415527813,0.21951219512195122,0.061424200145202265,0.5485,0.2774376265142312,LOW,0.33292515181707744,Medium,Upregulated
EGFL7,1.547279929,0.000577182,0,0.0,Yes,,0.0,1.861,,,,YES,,YES,5.011155733790199,0.03713408221368665,0.0,0.0,0.46525,0.086497836996159,LOW,0.086497836996159,LOW,Upregulated
JAZF1,1.547252174,5.15132e-13,1,10.75799561,,,2.0,1.409,,,YES,YES,YES,YES,19.012760770151658,0.21869008545887275,0.04878048780487805,0.06548196492770406,0.35225,0.3626742837297509,Medium,0.3626742837297509,Medium,Upregulated
FOXO3,1.512431285,1.03328e-10,1,22.49775314,,Yes,20.0,2.957,,YES,YES,YES,YES,YES,15.102809066694158,0.16799052620706265,0.4878048780487805,0.13693973631075165,0.73925,0.4489576982291314,Medium,0.4489576982291314,Medium,Upregulated
MAP2K4,1.511153601,7.60382e-12,1,28.46710396,,Yes,4.0,2.49,,,YES,YES,YES,YES,16.802468793186218,0.19002967286327307,0.0975609756097561,0.17327409033047794,0.6225,0.4059718593824963,Medium,0.4059718593824963,Medium,Upregulated
ARHGEF12,1.503930465,1.09524e-09,1,0.0,Yes,Yes,6.0,1.593,,,YES,YES,,YES,13.475954950225976,0.146895435288422,0.14634146341463414,0.0,0.39825,0.3404745922212533,Medium,0.3404745922212533,Medium,Upregulated
RMI2,1.49254664,0.004893532,1,4.044668674,,,8.0,1.459,,,YES,YES,YES,YES,3.4483462753217595,0.016869445525503277,0.1951219512195122,0.024619163444244176,0.36475,0.28427786195285215,LOW,0.28427786195285215,LOW,Upregulated
EZH2,1.487952209,1.79499e-19,1,43.57718277,Yes,Yes,34.0,3.196,,YES,YES,YES,YES,YES,27.893059807120313,0.3338391413411889,0.8292682926829268,0.2652463950757542,0.799,0.5795290823794031,Medium,0.5795290823794031,Medium,Upregulated
DGCR8,1.451928792,9.06521e-11,1,4.011286736,,,2.0,2.39,,,YES,YES,YES,YES,14.581172218897944,0.1612265658621343,0.04878048780487805,0.024415973651965125,0.5975,0.36949660078364477,Medium,0.36949660078364477,Medium,Upregulated
ESCO2,1.444944653,3.38201e-10,0,6.500387669,,Yes,8.0,1.817,,,,YES,YES,YES,13.684818105956865,0.14960372192278998,0.1951219512195122,0.039566678848824886,0.45425,0.1589280378720892,LOW,0.1589280378720892,LOW,Upregulated
UBA52,1.404071462,1.33236e-08,0,0.0,,,32.0,1.475,,YES,,YES,,YES,11.057594083741424,0.11553703514906205,0.7804878048780488,0.0,0.36875,0.1853529463048828,LOW,0.22242353556585936,LOW,Upregulated
ARID4A,1.383126925,4.8945e-58,0,5.653213978,,Yes,3.0,1.544,,,,YES,YES,YES,79.26740748444722,1.0,0.07317073170731707,0.03441008649344507,0.386,0.5186580818200762,Medium,0.5186580818200762,Medium,Upregulated
MYH11,1.37365325,0.003225882,1,16.39468002,,Yes,5.0,1.965,,,YES,YES,YES,YES,3.422253116154538,0.016531100765874752,0.12195121951219512,0.0997914389435757,0.49125,0.30330076119022076,LOW,0.30330076119022076,LOW,Upregulated
BUB1B,1.365290154,5.75775e-05,1,46.8458252,Yes,,14.0,2.455,,YES,YES,YES,YES,YES,5.78848510214989,0.0472135561709927,0.34146341463414637,0.28514202774951264,0.61375,0.3759691445153126,Medium,0.3759691445153126,Medium,Upregulated
HSPA4,1.359486383,3.68848e-12,0,17.73935509,,,23.0,2.893,,YES,,YES,YES,YES,15.54321522969163,0.17370118456021008,0.5609756097560976,0.10797623181438243,0.72325,0.25354821720914256,LOW,0.30425786065097105,LOW,Upregulated
MDM2,1.340108571,7.51278e-08,1,58.549263,Yes,,27.0,3.23,,YES,YES,YES,YES,YES,9.547200581780016,0.0959520656522454,0.6585365853658537,0.3563787275340709,0.8075,0.46579496083350286,Medium,0.46579496083350286,Medium,Upregulated
SESN3,1.336451064,1.07554e-07,0,3.093047619,,Yes,2.0,1.252,,,,YES,YES,YES,9.312890089276292,0.09291380850766007,0.04878048780487805,0.018826818958617937,0.313,0.09552194450479663,LOW,0.09552194450479663,LOW,Upregulated
POLQ,1.320065495,0.001293769,1,0.0,,,10.0,1.848,,YES,YES,YES,,YES,3.8125382610884446,0.02159184993399884,0.24390243902439024,0.0,0.462,0.3034065763727385,LOW,0.3034065763727385,LOW,Upregulated
TFRC,1.319476796,2.52026e-08,1,17.21832657,,,12.0,2.702,,YES,YES,YES,YES,YES,10.026116548258216,0.10216207290057747,0.2926829268292683,0.10480482586574459,0.6755,0.38704670807476116,Medium,0.38704670807476116,Medium,Upregulated
SPECC1,1.309433965,1.471e-09,1,4.484175682,,,0.0,0.952,,,YES,YES,YES,YES,11.565427958366142,0.12212201511028371,0.0,0.0272943627589366,0.238,0.29338434307552136,LOW,0.29338434307552136,LOW,Upregulated
KLF3,1.299977353,4.06153e-35,0,0.0,,Yes,1.0,1.615,,,,YES,,YES,44.70792457491523,0.5518741190756036,0.024390243902439025,0.0,0.40375,0.3113448779742655,LOW,0.37361385356911864,Medium,Upregulated
BARD1,1.267606859,7.64277e-05,1,139.5420532,,Yes,16.0,2.982,,YES,YES,YES,YES,YES,5.2184195351127824,0.03982163034033424,0.3902439024390244,0.8493671279330642,0.7455,0.4537058366903593,Medium,0.4537058366903593,Medium,Upregulated
TBL1XR1,1.25615381,3.10313e-11,1,13.09714508,Yes,,8.0,1.771,,,YES,YES,YES,YES,13.199915503996369,0.14331608717330865,0.1951219512195122,0.07971994281020271,0.44275,0.3583889286309604,Medium,0.3583889286309604,Medium,Upregulated
CDK1,1.252927879,0.001030244,0,27.98592186,,,27.0,3.141,,YES,,YES,YES,YES,3.74257063255523,0.02068459373301009,0.6585365853658537,0.1703452223016836,0.78525,0.20998374794660826,LOW,0.2519804975359299,LOW,Upregulated
PBX1,1.235230111,1.75727e-08,1,13.68799973,,,11.0,2.059,,YES,YES,YES,YES,YES,9.579409006831382,0.09636970583763572,0.2682926829268293,0.0833163677271925,0.51475,0.3557397726923383,Medium,0.3557397726923383,Medium,Upregulated
DDIT3,1.228091803,0.001539871,1,17.81702805,,,7.0,2.234,,,YES,YES,YES,YES,3.454027427732807,0.016943111888959316,0.17073170731707318,0.1084490130114507,0.5585,0.3193174723828841,LOW,0.3193174723828841,LOW,Upregulated
STK11,1.221658208,1.08136e-09,1,125.5768738,,Yes,9.0,2.992,,,YES,YES,YES,YES,10.953423775217049,0.114186279659003,0.21951219512195122,0.7643636179084031,0.748,0.46197140714958673,Medium,0.46197140714958673,Medium,Upregulated
RAD51C,1.220750943,1.13044e-11,0,93.8824234,,Yes,11.0,2.948,,YES,,YES,YES,YES,13.363258417161008,0.14543412195543418,0.2682926829268293,0.5714452560932642,0.737,0.2599691487819547,LOW,0.31196297853834565,LOW,Upregulated
GATA1,1.218067484,9.23225e-05,1,18.09731674,,,18.0,2.2,,YES,YES,YES,YES,YES,4.9145276737009205,0.03588112554581995,0.43902439024390244,0.11015507934885944,0.55,0.3535644534548952,Medium,0.3535644534548952,Medium,Upregulated
