18S_rRNA	18S_rRNA.1	DOID:9643	Babesiosis	7.225	3.612	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
18S_rRNA	18S_rRNA	DOID:1612	Breast cancer	4.948	2.474	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1612
28S_rRNA	28S_rRNA	DOID:1612	Breast cancer	3.715	1.858	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:1612
45S_rRNA	45S_rRNA	DOID:1612	Breast cancer	2.082	1.041	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=45S_rRNA&type2=-26&id2=DOID:1612
5S_rRNA	5S_rRNA	DOID:1612	Breast cancer	3.647	1.824	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=5S_rRNA&type2=-26&id2=DOID:1612
5_8S_rRNA	5_8S_rRNA	DOID:1612	Breast cancer	1.166	0.583	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=5_8S_rRNA&type2=-26&id2=DOID:1612
7SK	7SK	DOID:1612	Breast cancer	3.398	1.699	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=7SK&type2=-26&id2=DOID:1612
A1BG-AS1	A1BG-AS1	DOID:1612	Breast cancer	1.785	0.892	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=A1BG-AS1&type2=-26&id2=DOID:1612
A2M-AS1	A2M-AS1	DOID:1612	Breast cancer	2.138	1.069	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=A2M-AS1&type2=-26&id2=DOID:1612
A2ML1-AS1	A2ML1-AS1	DOID:1612	Breast cancer	1.077	0.539	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=A2ML1-AS1&type2=-26&id2=DOID:1612
AATBC	AATBC	DOID:1612	Breast cancer	2.369	1.185	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AATBC&type2=-26&id2=DOID:1612
ABALON	ABALON	DOID:1612	Breast cancer	1.998	0.999	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ABALON&type2=-26&id2=DOID:1612
ABHD11-AS1	ABHD11-AS1	DOID:1612	Breast cancer	2.974	1.487	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ABHD11-AS1&type2=-26&id2=DOID:1612
AC000067.1	AC000067.1	DOID:1612	Breast cancer	1.457	0.729	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC000067.1&type2=-26&id2=DOID:1612
AC002456.2	AC002456.2	DOID:1612	Breast cancer	1.082	0.541	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC002456.2&type2=-26&id2=DOID:1612
AC003092.1	AC003092.1	DOID:1612	Breast cancer	1.160	0.580	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC003092.1&type2=-26&id2=DOID:1612
AC004009.3	AC004009.3	DOID:1612	Breast cancer	1.323	0.662	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC004009.3&type2=-26&id2=DOID:1612
AC005013.5	AC005013.5	DOID:1612	Breast cancer	1.117	0.558	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC005013.5&type2=-26&id2=DOID:1612
AC005152.3	AC005152.3	DOID:1612	Breast cancer	1.155	0.578	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC005152.3&type2=-26&id2=DOID:1612
AC006262.5	AC006262.5	DOID:1612	Breast cancer	1.069	0.534	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC006262.5&type2=-26&id2=DOID:1612
AC007128.1	AC007128.1	DOID:1612	Breast cancer	1.702	0.851	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007128.1&type2=-26&id2=DOID:1612
AC007271.3	AC007271.3	DOID:1612	Breast cancer	1.532	0.766	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007271.3&type2=-26&id2=DOID:1612
AC009495.2	AC009495.2	DOID:1612	Breast cancer	1.622	0.811	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC009495.2&type2=-26&id2=DOID:1612
AC010894.3	AC010894.3	DOID:1612	Breast cancer	1.137	0.569	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC010894.3&type2=-26&id2=DOID:1612
AC011747.4	AC011747.4	DOID:1612	Breast cancer	1.406	0.703	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC011747.4&type2=-26&id2=DOID:1612
AC011997.1	AC011997.1	DOID:1612	Breast cancer	1.108	0.554	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC011997.1&type2=-26&id2=DOID:1612
AC012358.8	AC012358.8	DOID:1612	Breast cancer	1.286	0.643	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC012358.8&type2=-26&id2=DOID:1612
AC015971.2	AC015971.2	DOID:1612	Breast cancer	1.030	0.515	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC015971.2&type2=-26&id2=DOID:1612
AC016995.3	AC016995.3	DOID:1612	Breast cancer	1.358	0.679	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC016995.3&type2=-26&id2=DOID:1612
AC026904.1	AC026904.1	DOID:1612	Breast cancer	2.602	1.301	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC026904.1&type2=-26&id2=DOID:1612
AC062021.1	AC062021.1	DOID:1612	Breast cancer	1.050	0.525	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC062021.1&type2=-26&id2=DOID:1612
AC073115.6	AC073115.6	DOID:1612	Breast cancer	1.133	0.566	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC073115.6&type2=-26&id2=DOID:1612
AC073284.4	AC073284.4	DOID:1612	Breast cancer	1.990	0.995	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC073284.4&type2=-26&id2=DOID:1612
AC073934.6	AC073934.6	DOID:1612	Breast cancer	1.268	0.634	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC073934.6&type2=-26&id2=DOID:1612
AC092171.4	AC092171.4	DOID:1612	Breast cancer	1.213	0.606	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC092171.4&type2=-26&id2=DOID:1612
AC092580.4	AC092580.4	DOID:1612	Breast cancer	1.310	0.655	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC092580.4&type2=-26&id2=DOID:1612
AC093818.1	AC093818.1	DOID:1612	Breast cancer	1.387	0.694	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC093818.1&type2=-26&id2=DOID:1612
AC093850.2	AC093850.2	DOID:1612	Breast cancer	3.453	1.726	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC093850.2&type2=-26&id2=DOID:1612
AC097713.3	AC097713.3	DOID:1612	Breast cancer	1.030	0.515	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC097713.3&type2=-26&id2=DOID:1612
AC099850.1	AC099850.1	DOID:1612	Breast cancer	1.196	0.598	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC099850.1&type2=-26&id2=DOID:1612
AC104695.4	AC104695.4	DOID:1612	Breast cancer	1.128	0.564	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC104695.4&type2=-26&id2=DOID:1612
AC112721.1	AC112721.1	DOID:1612	Breast cancer	1.809	0.904	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC112721.1&type2=-26&id2=DOID:1612
AC112721.2	AC112721.2	DOID:1612	Breast cancer	1.175	0.587	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC112721.2&type2=-26&id2=DOID:1612
AC131097.4	AC131097.4	DOID:1612	Breast cancer	1.061	0.531	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC131097.4&type2=-26&id2=DOID:1612
AC144450.1	AC144450.1	DOID:1612	Breast cancer	1.376	0.688	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC144450.1&type2=-26&id2=DOID:1612
AC145110.1	AC145110.1	DOID:1612	Breast cancer	1.606	0.803	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC145110.1&type2=-26&id2=DOID:1612
AC159540.2	AC159540.2	DOID:1612	Breast cancer	1.025	0.512	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC159540.2&type2=-26&id2=DOID:1612
ACTA2-AS1	ACTA2-AS1	DOID:1612	Breast cancer	2.470	1.235	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ACTA2-AS1&type2=-26&id2=DOID:1612
ACVR2B-AS1	ACVR2B-AS1	DOID:1612	Breast cancer	1.403	0.701	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ACVR2B-AS1&type2=-26&id2=DOID:1612
ADAMTS9-AS1	ADAMTS9-AS1	DOID:1612	Breast cancer	3.231	1.615	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ADAMTS9-AS1&type2=-26&id2=DOID:1612
ADAMTS9-AS2	ADAMTS9-AS2	DOID:1612	Breast cancer	3.506	1.753	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ADAMTS9-AS2&type2=-26&id2=DOID:1612
ADARB2-AS1	ADARB2-AS1	DOID:1612	Breast cancer	1.719	0.859	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ADARB2-AS1&type2=-26&id2=DOID:1612
